cntry,netuse,gndr,agea,eisced,mnactic,hinctnta,ipcrtiv,impdiff,impfun,iscomajor,freqnet,nonet
BE,6,2,46,6,1,10,5,5,3,2,1,6
BE,6,1,40,6,1,8,4,5,3,2,1,6
BE,7,2,66,4,9,3,5,4,4,4,1,7
BE,6,1,53,6,1,10,2,2,3,3,1,6
BE,7,1,59,2,1,9,3,3,3,3,1,7
BE,7,1,87,7,6,8,2,5,5,1,1,7
BE,0,2,62,7,5,1,0,1,0,2,0,1
BE,7,1,29,2,1,6,2,2,4,8,1,7
BE,7,1,69,2,6,3,1,1,2,7,1,7
BE,7,2,52,4,1,9,4,2,5,4,1,7
BE,7,1,25,7,3,4,4,5,4,10,1,7
BE,4,1,38,5,1,2,5,4,4,7,0,4
BE,0,1,82,2,6,4,3,2,4,7,0,1
BE,6,1,42,4,1,7,4,3,4,7,1,6
BE,7,1,41,6,1,9,5,4,3,3,1,7
BE,1,1,57,1,5,3,2,1,0,9,0,1
BE,0,1,74,2,6,8,4,1,1,3,0,1
BE,7,2,22,4,1,8,4,5,4,4,1,7
BE,7,2,20,4,2,9,3,4,4,10,1,7
BE,6,2,28,6,1,6,4,4,4,4,1,6
BE,6,2,31,5,1,6,4,4,4,5,1,6
BE,6,2,44,5,1,2,0,4,4,9,1,6
BE,7,2,48,2,1,8,3,3,4,8,1,7
BE,7,2,53,2,5,1,2,4,4,9,1,7
BE,7,1,18,2,2,4,5,5,5,10,1,7
BE,1,1,58,4,6,5,4,1,4,7,0,1
BE,7,1,62,4,9,8,3,2,2,4,1,7
BE,0,1,66,1,6,4,0,1,4,1,0,1
BE,0,1,71,4,6,5,5,2,4,6,0,1
BE,7,2,34,6,1,9,2,4,5,4,1,7
BE,7,2,32,2,1,4,1,3,3,9,1,7
BE,7,2,37,5,1,7,2,3,5,4,1,7
BE,1,2,64,1,8,3,4,4,4,7,0,1
BE,0,2,78,1,6,4,1,1,4,8,0,1
BE,7,1,21,4,2,7,4,3,1,9,1,7
BE,7,1,25,3,1,10,2,4,4,8,1,7
BE,6,1,34,5,1,8,4,2,4,4,1,6
BE,7,1,38,4,1,7,3,3,3,8,1,7
BE,7,1,49,4,1,8,2,1,4,7,1,7
BE,7,1,58,4,1,6,3,3,5,4,1,7
BE,0,1,66,4,8,3,2,2,4,8,0,1
BE,0,1,73,1,6,3,4,0,4,8,0,1
BE,6,2,31,7,1,8,3,3,3,4,1,6
BE,7,2,45,7,1,8,5,4,3,3,1,7
BE,7,2,63,4,4,1,3,2,3,4,1,7
BE,5,2,49,2,1,6,3,0,3,6,0,5
BE,1,2,62,2,5,10,4,4,5,9,0,1
BE,0,1,87,7,6,7,5,4,5,1,0,1
BE,7,2,38,6,1,5,3,3,3,2,1,7
BE,5,2,17,1,9,8,4,2,3,10,0,5
BE,1,2,31,2,1,5,1,5,1,5,0,1
BE,6,2,39,7,3,6,3,2,3,2,1,6
BE,3,2,65,2,6,2,1,1,3,1,0,3
BE,7,1,29,7,1,8,3,2,3,4,1,7
BE,1,1,64,1,6,1,5,5,4,7,0,1
BE,1,1,88,2,8,2,5,3,1,3,0,1
BE,7,2,38,4,1,9,4,5,1,5,1,7
BE,1,2,57,3,5,4,4,3,2,3,0,1
BE,7,1,44,1,1,10,4,4,4,5,1,7
BE,7,1,54,2,1,4,4,3,2,7,1,7
BE,0,1,82,2,6,3,1,1,1,6,0,1
BE,7,2,25,6,1,7,3,5,5,2,1,7
BE,0,2,51,4,8,10,2,2,3,9,0,1
BE,7,2,64,6,3,3,3,2,3,9,1,7
BE,0,2,77,2,6,4,4,4,4,5,0,1
BE,7,1,16,2,2,8,3,3,4,10,1,7
BE,7,1,32,6,1,8,3,2,0,2,1,7
BE,6,1,46,6,8,7,3,1,3,7,1,6
BE,7,1,58,4,1,7,4,3,2,1,1,7
BE,7,2,24,6,1,9,3,5,5,2,1,7
BE,7,2,40,6,1,7,3,3,3,4,1,7
BE,1,2,51,4,1,6,3,4,5,8,0,1
BE,7,2,75,6,8,6,3,3,4,2,1,7
BE,7,1,23,4,2,8,3,2,3,10,1,7
BE,7,1,47,5,1,9,4,3,4,3,1,7
BE,1,2,53,2,1,10,4,4,4,4,0,1
BE,7,1,46,3,1,7,3,4,2,1,1,7
BE,7,1,60,5,1,8,3,4,3,3,1,7
BE,7,2,26,2,3,8,1,1,3,9,1,7
BE,7,1,42,4,1,8,4,1,3,1,1,7
BE,7,1,74,4,6,6,5,4,3,1,1,7
BE,0,1,79,2,6,4,3,1,3,10,0,1
BE,7,2,19,4,2,7,5,3,5,5,1,7
BE,7,2,31,6,8,8,4,2,1,3,1,7
BE,7,2,61,6,6,2,5,5,4,1,1,7
BE,0,2,88,1,6,2,2,2,4,10,0,1
BE,7,1,43,6,1,9,3,2,3,2,1,7
BE,7,2,50,5,1,3,2,2,3,7,1,7
BE,7,2,55,2,1,4,3,4,4,9,1,7
BE,7,1,21,4,9,6,5,1,4,10,1,7
BE,7,1,38,6,1,4,0,5,5,2,1,7
BE,4,1,42,6,1,9,4,3,3,1,0,4
BE,7,1,54,5,5,9,3,2,3,7,1,7
BE,7,1,53,4,1,7,4,2,4,1,1,7
BE,7,1,57,4,1,6,3,2,0,3,1,7
BE,0,2,31,3,1,7,3,3,4,2,0,1
BE,7,2,40,4,5,7,3,5,3,4,1,7
BE,7,2,36,7,1,9,5,5,5,3,1,7
BE,5,2,43,4,1,4,3,3,2,4,0,5
BE,7,2,48,7,1,6,5,5,0,2,1,7
BE,1,2,84,1,6,3,5,5,4,5,0,1
BE,0,2,91,2,6,3,0,0,0,3,0,1
BE,7,1,28,6,1,8,5,3,4,3,1,7
BE,7,2,64,7,8,10,4,4,4,2,1,7
BE,4,1,18,2,2,3,3,4,5,7,0,4
BE,7,1,25,6,1,1,5,4,4,2,1,7
BE,7,2,18,2,9,7,4,5,5,10,1,7
BE,7,2,24,4,1,7,3,4,5,9,1,7
BE,7,2,46,2,1,4,4,3,4,4,1,7
BE,5,2,65,6,6,5,4,4,1,4,0,5
BE,7,2,77,7,6,3,4,4,3,2,1,7
BE,5,2,42,4,1,5,4,1,2,4,0,5
BE,0,2,81,1,6,3,0,0,0,10,0,1
BE,1,1,54,2,1,10,4,4,3,8,0,1
BE,0,2,34,4,1,7,3,2,3,1,0,1
BE,7,1,40,4,1,8,5,0,4,7,1,7
BE,7,1,59,7,1,9,2,1,3,3,1,7
BE,7,1,66,6,5,6,3,2,3,3,1,7
BE,7,1,31,4,1,6,4,4,3,7,1,7
BE,7,1,55,4,1,10,3,1,3,8,1,7
BE,6,1,62,6,6,8,4,2,3,3,1,6
BE,7,2,22,4,2,6,3,5,5,5,1,7
BE,7,2,40,6,1,8,5,3,5,3,1,7
BE,7,2,50,3,1,7,4,2,4,5,1,7
BE,1,2,72,1,6,3,3,3,4,9,0,1
BE,7,1,18,4,2,8,4,5,4,8,1,7
BE,0,1,81,4,8,7,3,4,4,4,0,1
BE,7,2,16,4,2,6,5,3,4,10,1,7
BE,7,2,28,6,1,8,3,2,2,2,1,7
BE,7,2,33,6,1,6,5,5,5,5,1,7
BE,6,2,39,6,1,8,4,4,3,2,1,6
BE,7,2,49,2,5,5,5,4,3,3,1,7
BE,7,2,48,6,8,5,5,4,3,4,1,7
BE,4,2,54,6,1,7,3,2,4,2,0,4
BE,7,2,59,4,1,7,3,3,3,4,1,7
BE,7,2,69,6,8,10,4,5,5,2,1,7
BE,7,1,65,7,8,6,2,2,3,2,1,7
BE,7,1,60,7,6,9,4,1,4,2,1,7
BE,6,1,77,4,6,6,5,4,0,3,1,6
BE,5,2,56,2,1,9,5,5,4,3,0,5
BE,0,2,35,2,1,2,3,2,4,5,0,1
BE,7,2,41,4,1,7,3,4,4,1,1,7
BE,4,1,44,7,8,2,3,1,4,4,0,4
BE,7,1,73,7,6,7,5,4,2,1,1,7
BE,7,2,30,6,1,8,4,1,3,5,1,7
BE,7,1,36,7,1,9,2,2,3,2,1,7
BE,7,1,38,1,1,6,2,4,4,9,1,7
BE,7,1,42,6,1,5,2,0,0,4,1,7
BE,7,2,38,7,1,6,3,4,3,2,1,7
BE,1,1,60,1,5,3,3,4,4,9,0,1
BE,7,2,26,1,3,10,5,4,4,10,1,7
BE,6,1,24,2,1,5,3,1,4,8,1,6
BE,7,1,44,2,2,5,4,4,1,8,1,7
BE,7,1,35,2,1,6,4,4,4,5,1,7
BE,0,1,74,1,6,4,1,2,3,9,0,1
BE,6,2,55,2,8,7,4,5,4,5,1,6
BE,4,1,40,5,1,3,3,3,4,8,0,4
BE,6,2,49,4,1,5,5,4,1,4,1,6
BE,1,2,51,4,4,3,3,4,3,4,0,1
BE,7,2,26,2,2,2,1,3,1,9,1,7
BE,7,2,43,6,1,7,1,1,3,5,1,7
BE,7,2,36,4,8,5,4,4,4,10,1,7
BE,0,2,59,1,5,2,2,2,2,10,0,1
BE,6,1,32,2,1,7,3,5,3,8,1,6
BE,6,2,19,2,2,6,2,4,4,10,1,6
BE,6,1,30,4,1,4,4,3,4,2,1,6
BE,6,1,66,6,6,10,3,3,1,4,1,6
BE,7,2,17,1,9,4,5,4,4,10,1,7
BE,1,2,49,2,4,7,3,2,1,9,0,1
BE,2,2,49,3,1,9,2,4,3,9,0,2
BE,1,1,54,1,1,9,2,4,3,7,0,1
BE,0,2,42,4,1,5,3,3,3,5,0,1
BE,0,2,55,2,5,1,3,3,3,10,0,1
BE,0,1,28,3,3,4,3,3,3,8,0,1
BE,0,1,36,6,1,6,4,2,2,3,0,1
BE,0,1,66,1,6,2,1,3,1,6,0,1
BE,1,1,84,1,6,4,2,3,1,7,0,1
BE,7,2,25,2,1,5,5,5,5,9,1,7
BE,1,2,42,2,8,2,5,5,1,10,0,1
BE,0,2,55,1,3,7,3,2,0,9,0,1
BE,1,2,59,2,8,4,2,3,3,9,0,1
BE,1,2,71,1,8,5,2,2,3,9,0,1
BE,0,1,62,1,5,3,3,0,0,7,0,1
BE,7,2,18,2,2,6,5,5,5,10,1,7
BE,1,2,49,2,1,3,4,3,1,3,0,1
BE,7,1,36,7,1,10,2,2,5,2,1,7
BE,5,1,43,4,4,9,5,5,4,8,0,5
BE,5,1,49,6,1,10,3,3,5,1,0,5
BE,7,1,55,3,1,3,5,3,3,6,1,7
BE,1,1,63,2,6,3,3,2,2,4,0,1
BE,7,2,27,4,1,2,5,2,3,5,1,7
BE,7,1,18,2,2,8,3,4,5,10,1,7
BE,7,1,22,6,2,7,3,3,4,10,1,7
BE,2,1,59,7,1,9,4,3,4,2,0,2
BE,0,1,63,2,5,6,1,1,4,9,0,1
BE,7,2,29,4,1,8,3,3,4,3,1,7
BE,5,2,25,4,1,4,3,4,4,5,0,5
BE,7,2,32,7,1,5,3,1,1,2,1,7
BE,7,2,39,6,1,5,4,4,5,2,1,7
BE,5,2,43,1,4,7,1,1,2,5,0,5
BE,4,2,49,6,1,9,3,2,3,2,0,4
BE,1,2,52,6,1,9,3,1,4,5,0,1
BE,6,2,56,4,1,5,2,1,3,2,1,6
BE,0,2,69,2,6,7,3,3,4,1,0,1
BE,6,2,75,6,6,9,4,5,3,2,1,6
BE,7,1,21,4,1,3,3,3,4,9,1,7
BE,0,2,44,4,1,7,3,1,2,4,0,1
BE,6,1,50,2,1,7,3,3,3,3,1,6
BE,7,2,37,6,1,8,4,3,3,2,1,7
BE,7,1,74,4,6,5,3,1,4,1,1,7
BE,6,1,38,5,5,10,2,3,4,7,1,6
BE,0,1,58,3,1,7,4,4,5,7,0,1
BE,6,2,22,4,2,6,4,4,4,10,1,6
BE,7,2,45,7,1,10,2,3,3,1,1,7
BE,5,2,54,7,3,6,5,3,0,2,0,5
BE,1,2,74,2,6,4,4,1,1,4,0,1
BE,1,2,80,2,6,8,3,2,3,1,0,1
BE,7,1,62,5,5,7,3,3,4,9,1,7
BE,1,2,74,6,6,9,5,5,4,2,0,1
BE,7,1,45,7,1,8,2,2,3,2,1,7
BE,1,1,65,1,6,5,4,4,4,7,0,1
BE,7,2,32,7,1,9,4,4,4,2,1,7
BE,7,2,58,2,5,6,3,4,3,3,1,7
BE,7,1,42,6,1,4,5,5,3,2,1,7
BE,0,1,77,4,6,3,2,2,1,6,0,1
BE,6,2,34,6,8,5,3,3,3,2,1,6
BE,5,2,48,4,1,8,5,4,4,3,0,5
BE,6,2,54,6,8,6,1,1,2,3,1,6
BE,7,2,68,5,6,8,4,3,3,3,1,7
BE,7,1,16,2,9,7,5,4,5,10,1,7
BE,6,1,77,4,6,4,5,5,5,3,1,6
BE,7,2,23,6,1,9,4,3,4,2,1,7
BE,5,2,51,4,4,8,4,2,2,4,0,5
BE,1,2,67,4,8,2,5,4,4,10,0,1
BE,7,1,37,7,1,7,4,5,5,1,1,7
BE,0,1,79,4,6,8,3,2,2,1,0,1
BE,7,2,15,2,2,10,4,2,4,10,1,7
BE,5,2,54,3,1,8,2,4,3,9,0,5
BE,6,2,73,6,6,7,1,2,5,2,1,6
BE,7,1,25,6,1,8,4,3,4,2,1,7
BE,7,2,17,2,2,8,2,2,5,5,1,7
BE,2,2,50,6,1,7,5,5,3,5,0,2
BE,1,2,64,6,6,6,4,1,4,2,0,1
BE,6,2,42,4,1,6,4,4,4,9,1,6
BE,7,2,43,6,8,7,2,1,3,4,1,7
BE,7,2,55,4,1,8,4,1,2,2,1,7
BE,7,2,70,2,8,4,3,3,3,5,1,7
BE,0,2,82,1,6,4,5,4,3,10,0,1
BE,1,1,62,3,5,6,3,2,3,7,0,1
BE,7,2,36,4,1,3,5,5,5,3,1,7
BE,7,1,27,4,1,4,5,5,4,1,1,7
BE,0,1,80,4,6,5,1,1,3,8,0,1
BE,7,2,18,4,2,10,3,5,4,10,1,7
BE,0,2,54,1,1,6,3,1,2,9,0,1
BE,1,2,62,1,8,2,2,0,2,9,0,1
BE,0,2,70,1,8,2,3,2,3,10,0,1
BE,7,1,16,2,2,7,2,4,5,10,1,7
BE,6,1,23,3,1,9,3,4,4,7,1,6
BE,0,1,63,5,6,6,3,3,3,1,0,1
BE,7,1,52,2,1,9,4,2,5,7,1,7
BE,7,2,40,7,1,8,5,3,0,2,1,7
BE,5,2,46,4,1,5,3,2,3,5,0,5
BE,7,2,66,7,6,4,3,3,3,1,1,7
BE,5,1,42,2,4,6,4,3,3,7,0,5
BE,7,1,64,7,1,8,2,1,2,2,1,7
BE,7,2,30,7,8,9,4,4,3,2,1,7
BE,7,2,38,5,8,5,3,3,3,2,1,7
BE,4,2,58,7,1,9,2,3,3,2,0,4
BE,7,1,23,4,4,9,3,4,4,9,1,7
BE,7,2,31,6,1,7,4,5,5,3,1,7
BE,5,2,38,4,5,3,4,3,4,9,0,5
BE,6,2,44,6,1,9,2,4,4,1,1,6
BE,4,2,50,7,1,7,4,3,5,2,0,4
